,document,summary,id
0,"The full cost of damage in Newton Stewart, one of the areas worst affected, is still being assessed.
Repair work is ongoing in Hawick and many roads in Peeblesshire remain badly affected by standing water.
Trains on the west coast mainline face disruption due to damage at the Lamington Viaduct.
Many businesses and householders were affected by flooding in Newton Stewart after the River Cree overflowed into the town.
First Minister Nicola Sturgeon visited the area to inspect the damage.
The waters breached a retaining wall, flooding many commercial properties on Victoria Street - the main shopping thoroughfare.
Jeanette Tate, who owns the Cinnamon Cafe which was badly affected, said she could not fault the multi-agency response once the flood hit.
However, she said more preventative work could have been carried out to ensure the retaining wall did not fail.
""It is difficult but I do think there is so much publicity for Dumfries and the Nith - and I totally appreciate that - but it is almost like we're neglected or forgotten,"" she said.
""That may not be true but it is perhaps my perspective over the last few days.
""Why were you not ready to help us a bit more when the warning and the alarm alerts had gone out?""
Meanwhile, a flood alert remains in place across the Borders because of the constant rain.
Peebles was badly hit by problems, sparking calls to introduce more defences in the area.
Scottish Borders Council has put a list on its website of the roads worst affected and drivers have been urged not to ignore closure signs.
The Labour Party's deputy Scottish leader Alex Rowley was in Hawick on Monday to see the situation first hand.
He said it was important to get the flood protection plan right but backed calls to speed up the process.
""I was quite taken aback by the amount of damage that has been done,"" he said.
""Obviously it is heart-breaking for people who have been forced out of their homes and the impact on businesses.""
He said it was important that ""immediate steps"" were taken to protect the areas most vulnerable and a clear timetable put in place for flood prevention plans.
Have you been affected by flooding in Dumfries and Galloway or the Borders? Tell us about your experience of the situation and how it was handled. Email us on selkirk.news@bbc.co.uk or dumfries@bbc.co.uk.",Clean-up operations are continuing across the Scottish Borders and Dumfries and Galloway after flooding caused by Storm Frank.,35232142
3,"John Edward Bates, formerly of Spalding, Lincolnshire, but now living in London, faces a total of 22 charges, including two counts of indecency with a child.
The 67-year-old is accused of committing the offences between March 1972 and October 1989.
Mr Bates denies all the charges.
Grace Hale, prosecuting, told the jury that the allegations of sexual abuse were made by made by four male complainants and related to when Mr Bates was a scout leader in South Lincolnshire and Cambridgeshire.
""The defendant says nothing of that sort happened between himself and all these individuals. He says they are all fabricating their accounts and telling lies,"" said Mrs Hale.
The prosecutor claimed Mr Bates invited one 15 year old to his home offering him the chance to look at cine films made at scout camps but then showed him pornographic films.
She told the jury that the boy was then sexually abused leaving him confused and frightened.
Mrs Hale said: ""The complainant's recollection is that on a number of occasions sexual acts would happen with the defendant either in the defendant's car or in his cottage.""
She told the jury a second boy was taken by Mr Bates for a weekend in London at the age of 13 or 14 and after visiting pubs he was later sexually abused.
Mrs Hale said two boys from the Spalding group had also made complaints of being sexually abused.
The jury has been told that Mr Bates was in the RAF before serving as a Lincolnshire Police officer between 1976 and 1983.
The trial, which is expected to last two weeks, continues.","A former Lincolnshire Police officer carried out a series of sex attacks on boys, a jury at Lincoln Crown Court was told.",36266422
6,"Veronica Vanessa Chango-Alverez, 31, was killed and another man injured when an Audi A3 struck them in Streatham High Road at 05:30 GMT on Saturday.
Ten minutes before the crash the car was in London Road, Croydon, when a Volkswagen Passat collided with a tree.
Police want to trace Nathan Davis, 27, who they say has links to the Audi. The car was abandoned at the scene.
Ms Chango-Alverez died from multiple injuries, a post-mortem examination found.
No arrests have been made as yet, police said.
Ms Chango-Alverez was staying at her mother's home in Streatham High Road.
She was born in Ecuador and had lived in London for 13 years, BBC London reporter Gareth Furby said. At the time of the crash, she was on her way to work in a hotel.
The remains of the bus stop, which was extensively damaged in the crash, have been removed.
Flowers have been left at the site in tribute to the victim.
A statement from her brother Kevin Raul Chango-Alverez said: ""My family has had its heart torn out, at this Christmas time, we will never be the same again.
""On Friday night we were together as a family with Veronica meeting her newly born nephew and preparing for Christmas.
""I last saw her alive as she left to go to work on Saturday morning, but moments later I was holding her hand as she passed away in the street.""
Describing the crash as ""horrific"" Det Insp Gordon Wallace, said: ""The family are devastated. The memory of this senseless death will be with them each time they leave their home.
""The driver fled the scene abandoning the grey Audi, which was extensively damaged.
""We are looking to speak to Mr Nathan Davis in relation to this collision.""
The 51-year-old man injured at the bus stop remains in a critical condition in hospital while the condition of the 29-year-old driver of the Volkswagen is now stable.",A man with links to a car that was involved in a fatal bus stop crash in south London is being sought by police.,20836172
7,"Belgian cyclist Demoitie died after a collision with a motorbike during Belgium's Gent-Wevelgem race.
The 25-year-old was hit by the motorbike after several riders came down in a crash as the race passed through northern France.
""The main issues come when cars or motorbikes have to pass the peloton and pass riders,"" Team Sky's Rowe said.
""That is the fundamental issue we're looking into.
""There's a lot of motorbikes in and around the race whether it be cameras for TV, photographers or police motorbikes.
""In total there's around 50 motorbikes that work on each race.
""We've got a riders union and we're coming together to think of a few ideas, whether we cap a speed limit on how fast they can overtake us.
""Say we put a 10 kilometres per hour limit on it, if we're going 50kph they're only allowed to pass us 60kph or something like that.""
Demoitie, who was riding for the Wanty-Gobert team, was taken to hospital in Lille but died later.
The sport's governing body, the UCI, said it would co-operate with all relevant authorities in an investigation into the incident.
The Professional Cyclists' Association (CPA) issued a statement asking what would be done to improve safety.
Despite Demoitie's death, attitudes to road racing will stay the same says Rowe, who has been competing in Three Days of De Panne race in Belgium.
""As soon as that element of fear slips into your mind and you start thinking of things that could happen, that's when you're doomed to fail,"" he told BBC Wales Sport.
""If you start thinking about crashes and the consequences and what could potentially happen then you're never going to be at the front of the peloton and you're never going to win any races.""
In a separate incident, another Belgian cyclist, Daan Myngheer, 22, died in hospital after suffering a heart attack during the first stage of the Criterium International in Corsica.",Welsh cyclist Luke Rowe says changes to the sport must be made following the death of Antoine Demoitie.,35932467
8,"Gundogan, 26, told BBC Sport he ""can see the finishing line"" after tearing cruciate knee ligaments in December, but will not rush his return.
The German missed the 2014 World Cup following back surgery that kept him out for a year, and sat out Euro 2016 because of a dislocated kneecap.
He said: ""It is heavy mentally to accept that.""
Gundogan will not be fit for the start of the Premier League season at Brighton on 12 August but said his recovery time is now being measured in ""weeks"" rather than months.
He told BBC Sport: ""It is really hard always to fall and fight your way back. You feel good and feel ready, then you get the next kick.
""The worst part is behind me now. I want to feel ready when I am fully back. I want to feel safe and confident. I don't mind if it is two weeks or six.""
Gundogan made 15 appearances and scored five goals in his debut season for City following his £20m move from Borussia Dortmund.
He is eager to get on the field again and was impressed at the club's 4-1 win over Real Madrid in a pre-season game in Los Angeles on Wednesday.
Manager Pep Guardiola has made five new signings already this summer and continues to have an interest in Arsenal forward Alexis Sanchez and Monaco's Kylian Mbappe.
Gundogan said: ""Optimism for the season is big. It is huge, definitely.
""We felt that last year as well but it was a completely new experience for all of us. We know the Premier League a bit more now and can't wait for the season to start.""
City complete their three-match tour of the United States against Tottenham in Nashville on Saturday.
Chelsea manager Antonio Conte said earlier this week he did not feel Tottenham were judged by the same standards as his own side, City and Manchester United.
Spurs have had the advantage in their recent meetings with City, winning three and drawing one of their last four Premier League games.
And Gundogan thinks they are a major threat.
He said: ""Tottenham are a great team. They have the style of football. They have young English players. Our experience last season shows it is really tough to beat them.
""They are really uncomfortable to play against.
""I am pretty sure, even if they will not say it loud, the people who know the Premier League know Tottenham are definitely a competitor for the title.""",Manchester City midfielder Ilkay Gundogan says it has been mentally tough to overcome a third major injury.,40758845
11,"Weaknesses in the way mice swapped data with computers left them vulnerable, said security firm Bastille Networks.
Attackers could spoof poorly protected signals letting them use PCs as if they were sitting in front of them, it said.
Information about the loopholes have been passed to the makers of vulnerable mice, some of who are creating updates to make the mice more secure.
The radio signals sent by many wireless mice to a ""dongle"" plugged in to a computer were often unencrypted, said Marc Newlin and Balint Seeber, from Bastille, who carried out the research.
""That makes it possible for the attacker to send unencrypted traffic to the dongle pretending to be a keyboard and have it result as keystrokes on your computer,"" Mr Newlin said.
By contrast, they said, signals sent by wireless keyboards were scrambled to stop attackers eavesdropping on or spoofing them.
The pair found they could spoof signals for mice using a few lines of code and an antenna and dongle that cost $20 (Â£15).
The attack worked at distances of up to 180m (590ft).
Using this kit, they sent specially crafted mouse clicks that a computer interpreted as key presses, letting them run commands and take control of a target machine.
The Bastille researchers said many companies spent a lot of time and money securing the physical devices sitting on their networks but often neglected to keep an eye on data sent via radio.
Wireless mice produced by HP, Lenovo, Amazon and Dell were found to be vulnerable.
Bastille said it had reported its findings to the hardware makers and to the company that made the chipset used inside the spoofable mice.
Updates to the internal computer code, or firmware, for some of the vulnerable mice are now being made available,
But Bastille said many of the insecure mice it had found could not be updated.","Hackers could gain access to home and corporate networks via security flaws in wireless mice, suggests research.",35890902
13,"The EC's doubts about the arrangement were detailed in a document on Friday.
The EC said that its ""preliminary view is that the tax ruling... by Luxembourg in favour of Amazon constitutes state aid.""
However, Amazon said it ""has received no special tax treatment from Luxembourg"".
""We are subject to the same tax laws as other companies operating here [in Luxembourg],"" it said.
The Luxembourg finance ministry said: ""Luxembourg is confident that the state aid allegations in this case are without merit and will be able to convince the Commission of the legitimacy of the anticipatory decision in question and that no competitive advantage was granted,"" it said.
The European Commission began a probe of the tax arrangement last year, saying that it had suspicions it broke EU rules.
The Commission document, which was sent to the Luxembourg Ministry of Foreign Affairs in October, gives its rationale for launching the investigation.
The Commission said it had ""no indication"" that the tax arrangement was ""compatible with the internal market"".
The current European Commission chief, Jean-Claude Juncker, was prime minister of Luxembourg when the deal was struck.
Mr Juncker has come under pressure over claims that around 340 global companies were granted tax  avoidance deals during his 18 year tenure in Luxembourg.
Commission doubts over the Amazon deal included whether Luxembourg had properly looked into Amazon's ""transfer pricing"" proposals about how money would be moved between different Amazon subsidiaries.
Doubts also existed about whether the country had assessed that the proposed tax regime was in line with market conditions before agreeing the deal in 2003, the European Commission document said.
The Commission also had questions about how royalty payments between certain Amazon companies were calculated, and whether ""Amazon has a financial incentive to exaggerate the amount of the royalty"" between its Luxembourg head office company and an Amazon firm that holds shares in the head office company.
""If the royalty is exaggerated, it would unduly reduce the tax paid by Amazon in Luxembourg by shifting profits to an untaxed entity from the perspective of corporate taxation,"" the EC said.
It added that Luxembourg might have been too hasty in assessing Amazon's requested arrangement before striking the deal.
Luxembourg's finance ministry said it ""has provided all the information required by the Commission and cooperated fully with the Commission in its investigation.""
""Among other things, detailed reports on the transfer price requested by the Commission were disclosed,"" it added.
Luxembourg is also being investigated by the Commission over suspected ""sweetheart"" tax deals with the financing arm of carmaker Fiat.
In addition, Ireland's tax deal with Apple and the Netherlands' arrangement with Starbucks are being scrutinised as part of a crackdown on multinationals' tax avoidance schemes.","The European Commission has disclosed a preliminary finding that Amazon's tax arrangements in Luxembourg probably constitute ""state aid"".",30844962
14,"The three-day extravaganza of farming, food and family fun celebrates many aspects of agricultural life.
The Balmoral Show is run by the Royal Ulster Agricultural Society (RUAS) and dates back 148 years.
Last year, it attracted more than 90,000 visitors to its recently-adopted home outside Lisburn in County Antrim.
It was traditionally staged at the RUAS's headquarters in south Belfast, but the show moved to a larger venue on the site of the former Maze prison in 2013.
The Maze venue, re-named Balmoral Park, is now hosting the show for the fourth consecutive year.
The 2016 event coincides with Northern Ireland's Year of Food and Drink, and local produce features prominently in the exhibitions.
One of this year's highlights is an ""edible garden"", in which visitors can see their food growing in the ground before it gets to their plates.
The aim of the garden is to encourage people to grow their own food at home.
The event will also showcase the best of local livestock, with prized pigs, cattle, poultry and ponies all lining up in bid to be the stars of the show.
Their owners will also get a chance to shine, with horse riding and show jumping displays along with sheep shearing competitions and awards for the best livestock breeders and handlers.
For younger visitors, there is a family fun area hosting displays from the Northern Ireland School of Falconry as well as a gun dog skills demonstration and a performance from balloon artist Bruce Airhead.
BBC News NI are covering the event live on social media on Wednesday on Twitter at @BBCNewsNI, on Snapchat at bbcnewsni, and on BBC Newsline's Facebook page.",The most important event in Northern Ireland's agricultural calendar - the Balmoral Show - has opened with thousands of people attending.,36217333
15,"Mr Mosley wants Google to block photos of him at a sex party first printed in the now-defunct News of the World, which he successfully sued in 2008.
He is suing the internet firm for breaches of the Data Protection Act and misusing private information.
Google's barrister argued that Mr Mosley no longer has a ""reasonable expectation of privacy"".
Mr Mosley won damages from the News of the World after it published a story alleging he had organised a Nazi-themed orgy.
Photographs and a video which show his private sexual activity were originally obtained by News Group Newspapers Limited (NGN) in a clandestine ""sting"" operation.
Mr Mosley - the son of 1930s fascist leader Sir Oswald Mosley - won Â£60,000 after a judge ruled there was no substance to the allegation that there had been a Nazi theme to the sex party and found that his privacy had been breached.
In that ruling, the High Court also said the article was not in the public interest.
Mr Mosley has said the role-play at a rented Chelsea basement flat was harmless, consensual and private.
On launching his legal action last year, Mr Mosley urged: ""Google should operate within the law rather than according to rules it makes itself. It cannot be allowed to ignore judgements in our courts.""
Google has said it will remove URLs that it is alerted to, but is not prepared to remove the images entirely from its search engines.
In court on Wednesday, Google's barrister Antony White QC for Google conceded that it was technically possible to remove the images and was ""not burdensome"" to do so.
However, he argued that Google was not the publisher of the private information, and that Mr Mosley no longer had a reasonable expectation of privacy in relation to the images.
On that basis, Google will seek to show that Mr Mosley's claim is unfounded.
The hearing is due to conclude on Thursday.",Google has asked the High Court to throw out legal action being taken by ex-Formula 1 boss Max Mosley.,30816523
19,"A State Department spokesman said the election process was flawed and could not be seen as free and fair.
He said the Ortega government had side-lined opposition candidates and limited monitoring of the polls.
Daniel Ortega won 72.5% of the vote with 99.8% of the ballots counted.
His closest rival, centre-right candidate Maximino Rodriguez, only received 14.2% of the vote.
The State Department's Mark Toner  said the Ortega government had not invited international election observers, which he said, ""further degraded the legitimacy of the election"".
""We continue to press the Nicaraguan government to uphold democratic practices, including press freedom and respect for universal human rights in Nicaragua,"" he added.
Mr Ortega had been widely expected to win both due to the popularity of his social programmes and because he faced no obvious political challenger.
A former left-wing rebel, Mr Ortega has led Nicaragua through a period of economic stability which has made him popular with the country's business sector and foreign investors.
Supporters of Mr Ortega took to the streets to celebrate his victory.
But even before the first results were announced, members of the opposition coalition Broad Front for Democracy (FAD) called the elections a ""farce"".
The FAD, which had urged voters to boycott the election, alleged that more than 70% had abstained from voting.
They were contradicted by the electoral authorities which put voter participation at 65.8%.
Mr Ortega's running mate was his wife, Rosario Murillo, who now looks set to become vice-president.
Analysts say that Ms Murillo already shares decision-making with Mr Ortega and could become president if her 70-year-old husband were to bow out.
Nicaragua's economy has grown at double the Latin American average, but the country still needs to attract more foreign investment.
A $50bn (£40bn) plan to build an interoceanic canal across Nicaragua with Chinese investment has gained international attention, but there are serious doubts over whether it will ever be built.
The country has been able to avoid the sky-high murder rates of some of its Central American neighbours but it also faces the ever pervasive threat of drug-trafficking.","The US says it is ""deeply concerned"" about the electoral process in Nicaragua a day after Daniel Ortega, the left-wing leader, won a third consecutive presidential term.",37903647
