,Review,Ground_Truth_Label
0,"If you as I have a very close and long relationship with the world of Tintin....do yourself a favor and watch this beautiful documentary about Hergé and his life creating Tintin. I'ts so brilliant and a very cool production. The whole background story about Hergé and the people and also very much the many different situations he was influenced by, for good and worse is amazing. There is a very fine and obvious connection between the comic books and just this. I will for sure be in my basement digging up the Tintin albums again. Also, the movie itself are very well told and has a great ambient sound to it. I really do hope people will find this as intriguing as I did!",Positive
1,"This is without a doubt one of the worst movies EVER, I emphasize, EVER made. What´s worse, my old hero Dolph is in it and he´s starring it. Jesus... The story is actually quite good but the way it´s carried out made even my body hurt. The fighting scenes for starters are about as well choreographed as a fight between two drunks slugging it out in the gutter. The actors, except for Dolph who kinda sucks also, perform so badly you can´t help but wonder if their reason for being there is that they´re all friends of the director, who by the way must have been absent most, if not all, of the time. This is §12 million spent in an unimaginable way, because by the look of the effects and scenery, the cost can´t be a cent above §1000.",Negative
2,"I've bought, "" The Feast of All Saints,"" and it's not truly a horrible movie, but a lot of things could have been better. It had a lot of historical value, played out by very talented actress/actors, and it's not an everyday occurrence that actors can play out such a role and have it be somewhat believable. There were some parts that were a little mediocre and confusing, but I wouldn't say that the entire movie was horrible. Once you think about that, capturing 1800's New Orleans, and making something out of it, it pretty hard, and much harder to get actors who can strongly signify those parts. But the only big problem I had with the movie was that most of the actors who did play the free people of color, were mostly light skinned Africans, not very universal in casting others who weren't light skinned; one of the old Creole stereotypes that still exists. Whomever did the casting could have picked a wider variety when it came to hue, despite many Creoles are color conscious.Rather picking actors that looked near white in a sense, could have been more thought out.The actors did a great job, the script could have better written, and overall I found the performances were very believable.",Positive
3,"They changed the title of this atrocity to An Unexpected Love. The only thing worse is the film itself. The script contains dialogue that would be laughed out of a third grade play recital. At one point when the wife leaves the husband, a bad cover of All by Myself plays over the soundtrack! No kidding. The actors try but are defeated by the inept, unbelievably terrible script. Direction is staggeringly bad. No wonder Lifetime has such a bad reputation. How do things like this get made. I'm turning off the television before it's over!",Negative
4,"Other than Susan Hayward's wooden delivery throughout this film it was as good as any biblical film made. Henry King handles this film with the respect of an epic in all of the small scenes, and Peck is, as always, impeccable. The stirring Alfred Newman sound score, with the stirring twenty-third psalm is unforgettable even after these many years. The scene with Goliath is a bit on the hokey side, but not all that badly done for the era in which this film was made. This goes well alongside the lesser bible epics of the day, ""The Song of Ruth"" and ""Esther and the King."" It is worth watching, and Raymond Massy is excellent as the prophet Nathan. The film is rounded out by the always fine James Robertson Justice as Abishai and Jayne Meadows as Michol, David's estranged first wife.",Positive
5,"I didn't expect a movie as good as ""In The Line of Fire"" or an episode of ""24"", but it looked like this movie was made for TV and did a mediocre job at best. The (good) cast couldn't disguise the fact that the plot was all too predictable and actors had to struggle (they really try their best I think) through their lines of bad script, giving their rather flat characters any extras. When I watched the movie I got the feeling that I had seen most of this in other (better) movies. In it you had car chases, big shootouts, romance, plot twists etc. etc; This movie has none.<br /><br />** Spoiler** As soon as you see another woman talking into the phone to Cuba's character, you know who's behind all this and all the hints you're being given (""you stand too close to the president, see it from my perspective.."" ) sound silly. <br /><br />If it were up to me (and maybe it's a good thing that it isn't) I would rewrite the plot like this:<br /><br />First lady orders the murder of her husband because she is sick and tired of writing checks to Cuba all the time.",Negative
6,"I was to young to ever know much about prince but in the past few years I've seen a lot of Purple Rain Novelty Tee's and i thought they were cool but i didn't want to buy a shirt i knew nothing about. So one Saturday it came on fuse and i decided to watch it. I didn't know what the movie was going to be about before i watched it but it was great once i found out. In the movie prince wasn't known as prince but as ""the kid"". All the performances where great to me but my favorite were Purple Rain, Darling Nicki, and I would die for you. All the songs tied into what was going on through out the movie when his mother and father were always fighting the song when doves cried described what he was feeling. I also like how clever prince was with the way he flirted with Apallonia. I liked when Prince and Appallonia first met in the club and he stood behind her standing and then once she turned around he disappeared! great movie and now i cant even find one of those tee shirts :(",Positive
7,"I have to say, when ""Pushing Daisies"" came out I was immediately won out by the fairy-tale like setting of such grimness. The narrator made a cake out of the whole ordeal by making death seem as routine as, well, Ned (Lee Pace) baking pies. And that bringing them back to life was just as routine.<br /><br />The trio of Ned, Emerson Cod (Chi McBride) and Charlotte ""Chuck"" Charles (Anna Friel), plus sometimes-sidekick Olive Snook (Kristin Chenoweth, who made the musical Wicked such a delight) made for some fantastic dialogue and silliness. It definitely deserves the title of a (romantic) comedy/drama.<br /><br />Ned and Chuck made for a shy and not-quite-ready-for-love couple who are still exploring their feelings even though they cannot touch - an obstacle that seems to be truly no obstacle with aids such as gloves, cellophane, and quirky schedules around the apartment. But despite the awkwardness presented as they work their feelings around a strange secret which only a few know, they still manage to show their on screen chemistry in touching scenes like when Ned gives Chuck the beehives. The presence of Olive, though, makes for some break-out-in-song moments in the pie shop and unforeseen complications for the couple.<br /><br />Second season sharply declined, putting a damper on a show that had real potential. On some of the episodes, the plot line was rushed and awkward, making you ask ""what just happened?"" in both the overall dead-person-of-the-week plot and in the overriding plot line. The addition of Chuck's father plus two half-brothers for Ned didn't help, and at least one of the plot lines felt almost recycled (didn't the episode ""Comfort Food"" feel like the episode ""Bitter Sweets"" in the fact that the dead-person-of-the-week died in food?). A few touching moments (the beehives) happened to help advance the relationship between Chuck and Ned, but every time they got close, the writers decided to throw in another monkey wrench rather than let the relation develop (Oliver comes back from the monastery, Chuck's dead father comes back to life and doesn't go back, you get the picture).<br /><br />Shame it didn't work out, but the concept was good and seemed surreal in a good way, just enough Pleasantvillesque color/happy-smiley going on and implausible scenarios to remind you that it's not ""Dead Like Me."" Then again, it's in ""Pushing Daisies time,"" according to Creator Bryan Fuller, so it makes it plausible again.<br /><br />It should have lasted longer, but it's merely wistful thinking at this point. Kudos to whatever new show attempts to replace this short-lived gem.",Positive
8,"It seems a lot of IMDB comments on this film are biased, in the sense that they try to compare it to an older version. True, ""HOLLOW MAN"" is a remake of sorts of ""THE INVISIBLE MAN"", but that's where the similarities end. ""HOLLOW MAN"" is an entertaining movie,period. If you watch a movie with the intention of finding as many flaws as possible, then you shouldn't watch movies in the first place. True, some movies are plain horrendous and unbearable, but ""HOLLOW MAN"" manages to entertain and make you think what YOU would do if you were invisible and if you had your ex getting laid with one of your friends. Kevin Bacon stars as a eccentric scientist who, along with a team of collaborators, discover the way to make animals invisible. Now his mission is to make them visible again. When this team of young scientists (working, as you might guess, for the Pentagon)think they have the formula for making animals visible again, Kevin bacon volunteers to be the first to try the new experimental drug. After that, of course, things go wrong, as Kevin Bacon remains invisible for the rest of the movie and is obliged to wear a latex mask, so his collaborators know where he is. Feelings of paranoia and desperation begin to take over Kevin's character, and when he finds out that his ex girlfriend AND collaborator (Elisabeth Shue) is having a torrid affair with another of the young scientists in the team, he finally snaps. The movie then turns into a hybrid of ""ALIEN"" and a slasher flick, but that's not saying it's a bad turn. There are scares and chills and the movie moves at a nice pace. The special effects are top notch (a quality always prevalent in ALL of Paul Verhoeven's films)as we get to see some ""body reconstitution"" sequences never seen on a movie before. If there's anything to complain about, perhaps, is the predictability of the situations herein; by the first hour of the movie you KNOW Kevin bacon will make the jump from being weird and eccentric to being a homicidal lunatic in the end. And the ending is a bit abrupt, but despite this, HOLLOW MAN is still worth watching. If you want to know what a TRULY bad movie is, then waste your money on ""FEAR DOT COM"" (With Stephen Dorf) or the even worse THE UNTOLD (or ""Sasquatsh"", with Land Henriksen). Now THAT is ""hollow""! 8* out of 10*!",Positive
9,"I got lured by the title... I was expecting an insightful and intriguing journey into alcoholism, instead I got a rather boring and uninspiring story about a rowdy Scot.<br /><br />The leading character isn't given much psychological depth, unless you are willing to classify cheesy teen-like poetry as psychology.<br /><br />It was a shame, because the core of the story could have been good, with a better effort to depict the inner feelings of a man who had to live with alcohol and violence since his youth.<br /><br />Sadly, the general idea seems to be more like ""I'm the way I am because that's the way I am"". And the laughingly bad attempt at giving some sort of poetic edge to a lower-class man makes things even worse. Resorting to the overused cliché of the ""poète maudit"" reeks of a quick fix, a cheap way to make a dull movie seem smart, artsy and meaningful.<br /><br />But ""16 years of alcohol"" isn't much smart, artsy or meaningful... The leading character doesn't evolve at all, and the feeble attempt of changing fails without a good explanation. Just like the initial attempt happened rather out of the blue.<br /><br />The movie borrows heavily from classics such as A Clockwork Orange and Trainspotting, but it ultimately fails to recapture their greatness, not even for a few seconds.<br /><br />Jobson put too much emphasis on the artistic side of the story, and neglected the rest, giving us a movie which is pleasant to the eye but insipid to the brain.",Negative
